기업명,문의 일자,진행 날짜,상태,진행 팀,담당자,문의경로,공간,디자인 팀,"제안서, 견적서"
(주)엠엑스티바이오텍,2025-01-21,,취소,기획조정팀,"김송희, 안광열",홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/67906fdf3dc638790d569502/download, https://task-api.office.hiworks.com/v1/attached-files/67906fdf3dc638790d569503/download, https://task-api.office.hiworks.com/v1/attached-files/67906fdf3dc638790d569504/download"
DB하이텍,2025-01-22,,취소,기획조정팀,"김송희, 안광열",전화,,,"https://task-api.office.hiworks.com/v1/attached-files/6790b6509c52e301268d298e/download, https://task-api.office.hiworks.com/v1/attached-files/6790b6509c52e301268d298f/download"
스와로브스키,2025-01-22,,취소,기획조정팀,"김송희, 안광열",전화,,,"https://task-api.office.hiworks.com/v1/attached-files/679202df3dc638790d56ac44/download, https://task-api.office.hiworks.com/v1/attached-files/679202df3dc638790d56ac45/download, https://task-api.office.hiworks.com/v1/attached-files/679202df3dc638790d56ac46/download"
삼성E&A,2025-01-23,2025-02-08,진행 완료,기획조정2팀,송경은,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6792f2659c52e301268d419d/download, https://task-api.office.hiworks.com/v1/attached-files/6792f2689c52e301268d41a0/download"
대한항공,2025-01-23,2025-02-06,진행 완료,기획조정1팀,이서호,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6793262ad84f4210e1ed8271/download, https://task-api.office.hiworks.com/v1/attached-files/6793262ad84f4210e1ed8272/download"
플랜엑스,2025-01-23,,취소,기획조정1팀,이서호,,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67a00d32ba9ad25de5367815/download, https://task-api.office.hiworks.com/v1/attached-files/67a00d32ba9ad25de5367816/download"
신세계i&c,2025-01-23,2025-02-21,진행 완료,기획조정팀,"김병태, 안광열",개인,,,
tab int.,2025-01-31,,취소,기획조정2팀,송경은,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/679c891d097e68225e11c4e1/download, https://task-api.office.hiworks.com/v1/attached-files/679c8921291bb66b176a8d48/download"
벡톤 디킨슨,2025-01-31,,취소,기획조정팀,안광열,홈페이지,요청 없음,요청 없음,https://task-api.office.hiworks.com/v1/attached-files/67a593f864076102f99ae274/download
삼원중공업(주),2025-01-21,2025-10-31,진행 완료,기획조정1팀,"이우진, 안광열",개인,,,"https://task-api.office.hiworks.com/v1/attached-files/68da5ffdfd31fc406624b413/download, https://task-api.office.hiworks.com/v1/attached-files/68da5ffdfd31fc406624b414/download"
지니언스,2025-02-03,,취소,기획조정팀,안광열,,,,https://task-api.office.hiworks.com/v1/attached-files/67a94e3f9c52e301268de8c9/download
레디엔터테인먼트,2025-02-03,2025-07-04,진행 완료,기획조정1팀,이서호,카카오톡,,,https://task-api.office.hiworks.com/v1/attached-files/67ad993b8e88dc2d75fda09a/download
현대모비스,2025-02-03,,취소,기획조정팀,안광열,홈페이지,,,
한국수력원자력 2,2025-02-03,2025-02-12,진행 완료,기획조정2팀,송경은,,,,
홈앤쇼핑,2025-02-03,,연기,기획조정팀,안광열,홈페이지,,,
하나마이크론,2025-02-04,,취소,기획조정팀,안광열,전화,,,
에스원,2025-02-04,,취소,기획조정1팀,한보라,홈페이지,,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67a4727b9c52e301268dbe53/download, https://task-api.office.hiworks.com/v1/attached-files/67a4727b9c52e301268dbe54/download"
성신여자대학교,2025-02-04,2025-02-18,진행 완료,기획조정팀,안광열,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/67d934ce7a7c482d6e54a74e/download, https://task-api.office.hiworks.com/v1/attached-files/67d934de5dc90f260340efe7/download"
경기도일자리재단,2025-02-04,,연기,기획조정팀,안광열,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/67a94e1964076102f99af97c/download, https://task-api.office.hiworks.com/v1/attached-files/67a94e1964076102f99af97d/download"
플러스엑스,2025-02-05,,취소,기획조정팀,안광열,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/67a30b9364076102f99ac223/download, https://task-api.office.hiworks.com/v1/attached-files/67a30b9f9c52e301268da752/download, https://task-api.office.hiworks.com/v1/attached-files/67a30b9f9c52e301268da753/download, https://task-api.office.hiworks.com/v1/attached-files/67a30b9f9c52e301268da754/download"
구름,2025-02-06,,취소,기획조정팀,"안광열, 김송희",홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/67a5a0059c52e301268dcfb9/download, https://task-api.office.hiworks.com/v1/attached-files/67a5a0059c52e301268dcfba/download, https://task-api.office.hiworks.com/v1/attached-files/67a5a0059c52e301268dcfbb/download, https://task-api.office.hiworks.com/v1/attached-files/67a5a00c9c52e301268dcfbd/download"
